id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BR-112013032945-B1,Uso de um alelo de apj1 inativado e método de triagem de levedura resistente ao etanol ,"Katholieke Universiteit Leuven K.U. Leuven R&D, Vib Vzw","Johan Thevelein, Maria Remedios Foulquié Moreno, Annelies Goovaerts, Steve Swinnen",2011-06-21,2012-06-20,2021-06-22,,https://patents.google.com/patent/BR112013032945B1/pt,https://patentimages.storage.googleapis.com/0c/51/2f/e284ba8e3c3793/img0004.png
BR-112021001282-A2,levedura expressando enzimas para produção de etanol ,Novozymes A/S,"Michael Glenn Catlett, Monica Tassone, Paul Vincent Harris, Robert Lyle Osborne, Shiro Fukuyama, Tomoko Matsui, Ryoko Kataoka",2018-07-25,2019-07-22,2021-04-27,,https://patents.google.com/patent/BR112021001282A2/pt,
BR-112019018873-A2,processo para produção de etanol combustível com o uso de amido de milho como matéria-prima. ,Guangdong Zhongke Tianyuan New Energy Science & Tech Co Ltd,"Zhou Hongcai, Ma Jianzhi, Pan Jinfeng, Ou Jingshen, Chen Liuxin, Tan Xiaodong, Jiang Xinshun, Tang Zhaoxing, Gao Zhigui",2018-02-09,2019-01-25,2020-04-14,,https://patents.google.com/patent/BR112019018873A2/pt,
BR-112021006027-A2,formulações de fármaco resistente a álcool ,Jazz Pharmaceuticals Ireland Limited,"Clark Allphin, Edwin WALSH",2018-11-19,2019-11-19,2021-06-29,,https://patents.google.com/patent/BR112021006027A2/pt,
BR-112020016677-A2,Levedura melhorada para a produção de etanol ,"Novozymes A/S, Microbiogen Pty. Ltd.","Hamid Rismani Yazdi, Paul Victor Attfield, Philip John Livingstone Bell, Xin Li, Robert Lyle Osborne, Alan Jay House",2018-02-15,2019-02-15,2020-12-15,,https://patents.google.com/patent/BR112020016677A2/pt,
BR-112020008273-A2,processamento de biomassa ,"Xyleco, Inc.",Marshall Medoff,2017-10-27,2018-10-26,2020-10-20,,https://patents.google.com/patent/BR112020008273A2/pt,
BR-PI1006593-A2,fracionamento de biomassa para o etanol celulósico e produção química ,"Greenfield Ethanol Inc.,","Frank A. DOTTORI, Robert Ashley Cooper BENSON, Régis - Olivier Benech",2009-04-23,2010-04-23,2020-06-30,,https://patents.google.com/patent/BRPI1006593A2/pt,
BR-112017012363-B1,"microcápsulas revestidas, seu uso e produto de consumo que as compreende ",Noxell Corporation,"James Paul Hitchcock, Elaine Alice Marie Baxter, Simon Richard Biggs, Olivier Jean Cayre, Zoe Dyter, Lynette Anne Makins Holland, Madhuri Jayant Khanolkar, Raul RODRIGO GOMEZ, Alison Louise Tasker, David William York",2014-12-16,2015-12-16,2021-01-19,,https://patents.google.com/patent/BR112017012363B1/pt,https://patentimages.storage.googleapis.com/23/49/43/c08d9b98938ddc/img0001.png
BR-112019026417-B1,processo para extrair canabinóides ,Nextleaf Solutions Ltd,"Ryan Delmoral Ko, Brock Hughes, Krupal Devendra Pal, Alexzander Samuelsson",2017-09-29,2018-09-07,2020-12-01,,https://patents.google.com/patent/BR112019026417B1/pt,https://patentimages.storage.googleapis.com/8a/80/08/2802d3e3fed4e5/img0001.png
BR-PI1006058-B1,Método de fermentação de um amido a etanol e caldo de fermentação ,Anitox Corporation,"Julio Pimentel, James D. Wilson",2009-11-25,2010-11-23,2024-01-23,,https://patents.google.com/patent/BRPI1006058B1/pt,
BR-112020017353-A2,Processos para a preparação de um composto e de uma modificação de cristal iv de elobixibat. ,Elobix Ab,"Ganapati G. Bhat, Johnson M. Coutinho, Mikael Dahlström, Michael Lofthagen, Akinori Tatara",2018-03-09,2019-03-08,2020-12-15,,https://patents.google.com/patent/BR112020017353A2/pt,
BR-112020015348-A2,Microrganismos com utilização de nitrogênio melhorada para produção de etanol ,"Novozymes A/S, Microbiogen Pty. Ltd.","Hamid Rismani Yazdi, Sarah Schultheis Elliot, Paul Vincent Harris, Michael Glenn Catlett",2018-01-29,2019-01-29,2020-12-08,,https://patents.google.com/patent/BR112020015348A2/pt,
BR-112020019257-A2,Métodos para produção de etanol usando levedura manipulada ,"Cargill, Incorporated","Gregory M. Poynter, Brian J. Rush, Sneha Srikrishnan, Dawn Thompson, Arthur Shockley, Brynne Kohman, Joshua DUNN",2018-03-27,2019-03-27,2021-01-12,,https://patents.google.com/patent/BR112020019257A2/pt,
BR-112012008513-B1,"PROCESS FOR ETANOL BIOMASS CONVERSION, PROCESS FOR SEPARATION OF MATERIAL CONTAINING ENERGY OF ETHANOL BIOMASS CONVERSION PROCESS AND PROCESS FOR RECOVERY OF BURNABLE FUEL MATERIAL ","Purdue Research Foundation, Defense Life Sciences, Llc","Nathan Mosier, Michael R. Ladisch, Jerry Warner",2009-10-13,2010-10-13,2019-03-19,,https://patents.google.com/patent/BR112012008513B1/en,
BR-PI0806359-B1,Process for converting methanol and ethanol in light olefins ,China Petroleum & Chemical Corporation,"Xie Zaiku, Qi Guozhen, Zhang Huiming, Zhong Siqing",2007-02-07,2008-02-04,2017-12-12,,https://patents.google.com/patent/BRPI0806359B1/pt,
BR-122024000089-A2,"Artigo expandido, e, processo para formar um copolímero expandido de etileno e acetato de vinila ",Braskem S.A.,"Giancarlos Delevati, Mauro Alfredo Soto Oviedo, Fernanda Munhoz Anderle, Omar Wandir Renck, José Augusto Esteves Viveiro",2018-04-16,2019-04-08,2024-02-27,,https://patents.google.com/patent/BR122024000089A2/pt,
BR-112021018526-A2,Método de fabricação de nanopartículas de rna encapsuladas em lipídio ,Arcturus Therapeutics Inc,"e payne Joseph, Padmanabh Chivukula, Priya Karmali, Yanjie Bao",2019-03-19,2020-03-18,2021-11-23,,https://patents.google.com/patent/BR112021018526A2/pt,
BR-PI0715200-A2,"cultura biologicamente pura de microorganismos clostridium ragsdalei, e, composiÇço, mÉtodo e sistema para produzir etanol ","Univ Oklahoma State, Univ Oklahoma","Raymond L Huhnke, Randy S Lewis, Ralph S Tanner",2006-08-31,2007-08-30,2013-06-11,,https://patents.google.com/patent/BRPI0715200A2/pt,
BR-112019023085-A2,"levedura geneticamente modificada, e, processo para fabricar etanol. ",Cargill Inc,"J Rush Brian, Michael Poynter Gregory, Alan Jauert Peter",2017-05-04,2018-05-04,2020-06-09,,https://patents.google.com/patent/BR112019023085A2/pt,
BR-112020020814-A2,"Composição e kit para cuidado do cabelo, e, processo para moldar fibras capilares ","Lubrizol Advanced Materials, Inc.","Murat Kadir, Wing K. Li, Carole A. Lepilleur, Jean Xavier, Narjis A. Askar",2018-04-12,2019-04-11,2021-01-19,,https://patents.google.com/patent/BR112020020814A2/pt,
BR-PI0903506-B1,A method of synthesis of alcohol for the synthesis of butanol from ethanol ?? ,Kabushiki Kaisha Sangi,"Onda Ayumu, Ogo Shuhei, Yanagisawa Kazumichi",2009-08-17,2009-08-17,2017-12-19,,https://patents.google.com/patent/BRPI0903506B1/pt,
BR-PI0817154-B1,"""método de modificar uma célula de levedura para a produção de etanol, célula de levedura modificada, uso de uma célula de levedura modificada e método para a produção de etanol"" ",Technische Universität Berlin,"Stephane Guillouet, Carine Bideaux, Elke Nevoigt, Sandrine Alfenore",2007-10-29,2008-10-29,2018-11-27,,https://patents.google.com/patent/BRPI0817154B1/pt,
BR-112021009308-A2,composições de limpeza e método para tratar substratos queratinosos ,L'oreal,"Angela PARK, Jun Liang, Heather LEE, Anthony Potin",2018-11-29,2019-11-18,2021-08-10,,https://patents.google.com/patent/BR112021009308A2/pt,
BR-112020003530-A2,produção de etanol livre de glicerol aperfeiçoado ,Dsm Ip Assets B.V.,"Hans Marinus Charles Johannes De Bruijn, Paulus Petrus De Waal, Ingrid Maria Vugt-Van Lutz",2017-09-29,2018-09-25,2020-09-01,,https://patents.google.com/patent/BR112020003530A2/pt,
BR-112012005763-B1,método de preparação para materiais bio-combustíveis ,"Changhae Ethanol Co Ltd, Gs Caltex Corp","Young Seung Do, Choi Gi-Wook, Hak Song Hyo, Lee Julia, Hee Cho Jung, Hee Han Min, Ho Ueom Moon, Moon Se-Kwon, Hoon Park Sung, Kim Yule",2009-09-14,2010-09-13,2020-06-09,,https://patents.google.com/patent/BR112012005763B1/pt,
BR-PI0908308-B1,"cepa h. polymorpha, e processo para a fabricação de etanol ",Archer Daniels Midland Company.,"Andriy Y. Voronovsky, Charles Abbas, Andriy Sibirny",2008-03-24,2009-05-06,2021-01-12,,https://patents.google.com/patent/BRPI0908308B1/pt,https://patentimages.storage.googleapis.com/cd/2b/aa/911d569633cd8f/img0001.png
BR-112021007957-A2,mistura líquida e transparente de filtros uv ,Symrise Ag,"William Johncock, Jürgen Claus",2018-11-02,2018-11-02,2021-07-27,,https://patents.google.com/patent/BR112021007957A2/pt,
BR-112020024956-A2,Agonistas de receptor de glp-1 e usos dos mesmos ,Pfizer Inc.,"Gary Erik Aspnes, Chris Limberakis, Alan M. Mathiowetz, David W. Piotrowski, Roger B. Ruggeri, Scott W. Bagley, Edward L. Conn, John M. Curto, David James Edmonds, Mark E. Flanagan, Kentaro Futatsugi, David A. Griffith, Kim Huard",2018-06-15,2019-06-13,2021-03-09,,https://patents.google.com/patent/BR112020024956A2/pt,
BR-112020016066-A2,Inibidores de cd73 ,Eli Lilly And Company,"Robert Dean Dally, Maria Cristina Garcia Paredes, Lawrence Joseph Ii Heinz, Jennifer Marie Howell, Frank George NJOROGE, Yan Wang, Genshi Zhao",2018-03-01,2019-02-22,2020-12-08,,https://patents.google.com/patent/BR112020016066A2/pt,
BR-112019025391-A2,levedura melhorada para a produção de etanol ,Novozymes A/S,"David Hogsett, Monica Tassone, Paul Vincent Harris, Chee-Leong Soong, Michael Glenn Catlett",2017-06-02,2018-06-01,2020-07-07,,https://patents.google.com/patent/BR112019025391A2/pt,
BR-PI0810525-B1,"Uso de pioglitazona ou rosiglitazona pra tratar a dependência em álcool, cocaína e nicotina, composições farmacêuticas e formas de dosagem, e combinações farmacêuticas contendo pioglitazona ou rosiglitazona ",Omeros Corporation,Roberto Ciccocioppo,2007-04-11,2008-04-11,2021-05-11,,https://patents.google.com/patent/BRPI0810525B1/pt,https://patentimages.storage.googleapis.com/31/b1/30/713c6dbdad593b/img0007.png
BR-PI0909566-B1,"linhagem de h. polymorpha recombinante, e processo de elaboração de etanol ",Archer Daniels Midland Co,"A Sibirny Andriy, Y Voronovsky Andriy, Abbas Charles, Dmytruck Kostyantyan, Dmytruck Olena",2008-05-30,2009-06-01,2018-12-04,,https://patents.google.com/patent/BRPI0909566B1/pt,
BR-PI0702604-B1,método de conversão de etanol em estoque de base para combustível diesel ,Inst Francais Du Petrole,"Capuano Frédéric, Bengrine Mohamed, Maury Sylvie, Coupard Vincent",2006-05-30,2007-05-30,2017-03-21,,https://patents.google.com/patent/BRPI0702604B1/pt,
BR-112014021947-B1,processo e aparato para produção in situ de biodiesel em pequena escala ,Cantizani Filho Antonio,Cantizani Filho Antonio,2012-03-09,2013-03-08,2020-05-05,,https://patents.google.com/patent/BR112014021947B1/pt,
BR-112020008718-A2,"microrganismo geneticamente modificado, e, método de produção de etilenoglicol ou de um precursor de etilenoglicol. ","Lanzatech, Inc.","Michael Koepke, Rasmus Jensen",2017-12-19,2018-12-19,2020-11-24,,https://patents.google.com/patent/BR112020008718A2/pt,
BR-PI0712490-A2,cepa bg1 de trehmoanaerobacter mathranii ,Biogasol Ipr Aps,"Marie Just Mikkelsen, Birgitte Kiaer Ahring",2006-05-22,2007-05-22,2012-10-09,,https://patents.google.com/patent/BRPI0712490A2/pt,
BR-112020002736-A2,selective inhibitors of arginine methyltransferase 5 (prmt5) ,"Prelude Therapeutics, Incorporated","Juan Luengo, Hong Lin, Rupa Shetty, Michael Hawkins",2017-08-09,2018-08-09,2020-07-28,,https://patents.google.com/patent/BR112020002736A2/en,
BR-112020001825-A2,compounds and methods for targeted androgen receptor degradation ,"Arvinas Operations, Inc.","Andrew P. Crew, Michael Berlin, Xin Chen, Craig M. Crews, Hanqing Dong, Yimin Qian, Lawrence Snyder, Jing Wang, Kurt Zimmermann",2017-07-28,2018-07-27,2020-07-21,,https://patents.google.com/patent/BR112020001825A2/en,
BR-112019017108-A2,"heteroaryl [4,3-c] pyrimidine-5-amine derivatives, method of preparing them, and medical uses thereof ","Jiangsu Hengrui Medicine Co, Shanghai hengrui pharmaceutical co ltd","Lu Biao, He Feng, Wang Shenglan, Tao Weikang, Shen Xiaodong",2017-03-16,2018-03-15,2020-04-07,,https://patents.google.com/patent/BR112019017108A2/en,
BR-112020020085-A2,"composto, composição farmacêutica, e, métodos para induzir uma resposta imune, para induzir produção de interferons de tipo i dependentes de sting e para tratar um distúrbio de proliferação celular ",Merck Sharp & Dohme Corp.,"Michael D. Altman, Jongwon Lim, Min Lu, Ryan D. Otte, Benjamin Wesley Trotter, Brandon D. Cash, Matthew Lloyd Hilders, Jared N. Cumming, Duane E. DeMong, Andrew Marc Haidle, Timothy J. Henderson, James P. Jewell, Matthew A. Larsen",2018-04-03,2019-04-01,2021-02-17,,https://patents.google.com/patent/BR112020020085A2/pt,
BR-112020006761-A2,methods for administering sting agonists ,Glaxosmithkline Intellectual Property Development Limited,"George Scott PESIRIDIS, Joshi M. Ramanjulu, Jean-Luc TRAN, Jingsong YANG",2017-10-05,2018-10-04,2020-10-06,,https://patents.google.com/patent/BR112020006761A2/en,
BR-112021006692-A2,levedura expressando enzimas para produção de etanol ,Novozymes A/S,"Monica Tassone, James Ron Huffman, Chee-Leong Soong, Jung Yi, Hanlin Ouyang",2018-10-08,2019-10-07,2021-08-10,,https://patents.google.com/patent/BR112021006692A2/pt,
BR-112020009418-A2,"processo para a síntese de sais de ácido sulfônico orgânico de ésteres de aminoácido, e, sal de ácido sulfônico orgânico de um éster de aminoácido. ",Basf Se,"Sophia Ebert, Bjoern LUDOLPH, Dawid Marczewski",2017-12-05,2018-11-27,2020-10-13,,https://patents.google.com/patent/BR112020009418A2/pt,
BR-112016001975-B1,Método para processar biomassa lignocelulósica ,Inbicon A/S,"Jan Larsen, Martin Dan Jeppesen, Kit Kellebjerg Mogensen, Niels Nielsen Poulsen",2012-08-01,2014-02-05,2021-09-14,,https://patents.google.com/patent/BR112016001975B1/pt,https://patentimages.storage.googleapis.com/f2/3f/8f/bf43fb4fd88928/img0015.png
BR-112013001123-B8,Aparelho e método para a produção de etanol ,"Nippon Steel & Sumikin Eng Co, Nippon Steel Eng Co Ltd, Univ Tokyo","Atsushi Tsutsumi, Ryohta Hidaka, Takafumi Kiuchi, Tomonori Sumi, Yasuhiko Katoh, Yasuki Kansha, Yoichi Ishibashi",2010-07-22,2011-07-21,2022-03-03,,https://patents.google.com/patent/BR112013001123B8/pt,
BR-112017014961-B1,"Processo para a produção de combustível de lignina líquida, e método para processar lignina ","Danmarks Tekniske Universitet, University Of Copenhagen","Joachim BACHMANN NIELSEN, Anders Jensen, Anker DEGN JENSEN",2015-01-13,2016-01-13,2023-04-25,,https://patents.google.com/patent/BR112017014961B1/pt,https://patentimages.storage.googleapis.com/d8/6a/02/892590d3ba2460/img0004.png
BR-122019017739-B1,Micro-organismo recombinante compreendendo uma deleção de enzimas nativas que atuam para produzir glicerol e/ou regular a síntese de glicerol e vias metabólicas sintéticas para converter uma fonte de carboidrato a etanol ,Lallemand Hungary Liquidity Management Llc,"Aaron Argyros, William Ryan Sillers, Trisha Barrett, Nicky Caiazza, Arthur J. Shaw Iv",2011-04-05,2012-04-05,2021-06-22,,https://patents.google.com/patent/BR122019017739B1/pt,https://patentimages.storage.googleapis.com/76/34/e7/f10c57f5047956/img0035.png
BR-PI0713708-B1,Processos para produzir energia mecânica ou elétrica a partir de um combustível compreendendo álcool ,Monsanto Technology Llc,David A. Morgenstern,2006-06-13,2007-06-13,2020-09-29,,https://patents.google.com/patent/BRPI0713708B1/pt,https://patentimages.storage.googleapis.com/6c/83/7c/acf31ca03b35e6/img0009.png
BR-PI0710578-B1,método de produção de etanol a partir de gás de síntese ,Woodland Biofuels Inc,"Karen Venita Kelly, Larry Jack Melnichuk, Robert S Davis",2006-04-05,2007-04-05,2016-11-29,,https://patents.google.com/patent/BRPI0710578B1/pt,
BR-112015019997-B1,Métodos de sacarificar e fermentar um material celulósico ,Novozymes A/S,"Armindo Ribiero Gaspar, Mark Stevens, Hui Xu, Katja Salomon Johansen, Jesper Frickman",2013-02-21,2014-02-21,2022-12-20,,https://patents.google.com/patent/BR112015019997B1/pt,https://patentimages.storage.googleapis.com/e7/e3/60/2994a134209b5c/img0005.png
BR-112015019140-B1,processo de desidratação de uma carga etanol em etileno ,Ifp Energies Now,"Plennevaux Thomas, Coupard Vincent",2013-02-12,2014-02-06,2020-04-14,,https://patents.google.com/patent/BR112015019140B1/pt,
BR-PI0615421-B1,método de produção de etanol anidro usando circulação interna por alternação de torres múltiplas ,Yaling Zhong,"Yaling Zhong, Yuming Zhong",2005-09-02,2006-08-29,2016-08-09,,https://patents.google.com/patent/BRPI0615421B1/pt,
BR-112012023630-B1,Método para produzir etanol e composição ,"Buckman Laboratories International, Inc.","Christopher L. Wiatr, Michael L. Corcoran, Thomas E. McNeel, Richard A. Clark, Rita De Cassia Bertoto Porto, David Oppong",2010-03-19,2011-03-16,2019-04-24,,https://patents.google.com/patent/BR112012023630B1/pt,
BR-PI0718293-A2,"Sistema fechado de fotobio-reator para produção, separação, coleta ee remoção in situ, diariamente continuadas, de etanol, a partir de organismos fotossintéticos geneticamente otimizados ",Algenol Biofuels Ltd,"R Paul Woods, Edward Legere, Benjamin Moll, Carlos Unamunzaga, Eulalia Mantecon",2006-11-02,2007-10-30,2013-11-19,,https://patents.google.com/patent/BRPI0718293A2/pt,
BR-112014028022-B1,Método para a recuperação de um composto orgânico volátil a partir de um material de biomassa ,Shell Internationale Research Maatschappij B.V.,"Corey William Radtke, Phillip Guy Hamilton, Keith Michael Kreitman",2012-05-17,2013-05-16,2021-11-16,,https://patents.google.com/patent/BR112014028022B1/pt,https://patentimages.storage.googleapis.com/52/bf/4d/6126ba8c1821bd/img0015.png
BR-112014028021-A2,método para produzir pelo menos um composto orgânico volátil e para produzir uma biomassa úmida que pode ser armazenada contendo os compostos orgânicos voláteis. ,Shell Internationale Research Maatschappij B.V.,"Phillip Guy Hamilton, Corey William Radtke, Keith Michael Kreitman",2012-05-17,2013-05-16,2020-06-30,,https://patents.google.com/patent/BR112014028021A2/pt,
BR-112012000599-B1,Processo para a produção fermentativa de etanol a partir de uma composição de açúcar com o emprego de uma cepa de levedura recombinante ,Dsm Ip Assets B.V,"Paul Klaassen, Gijsberdina Pieternella Van Suylekom, Bianca Elisabeth Maria Gielesen, Nicolette Jasmijn Broers, Beate Wiedemann, Wilhelmus Theodorus Antonius Maria De Laat",2009-07-10,2010-07-06,2022-10-11,,https://patents.google.com/patent/BR112012000599B1/pt,https://patentimages.storage.googleapis.com/57/62/7c/75735abbbe2a68/img0006.png
BR-112019019313-A2,poliamidas e métodos de produção das mesmas ,Novomer Inc,"Tseitlin Alexander, Lee Han, H Sookraj Sadesh",2017-03-17,2018-03-13,2020-04-14,,https://patents.google.com/patent/BR112019019313A2/pt,
BR-112013018695-B1,"Célula hospedeira microbiana recombinante, processos para produzir um polipeptídeo, para produzir uma proteína, para degradar um material celulósico, e, construto de ácido nucleico ou vetor de expressão ","Novozymes A / S, Novozymes Inc",Nikolaj Spodsberg,2011-01-26,2012-01-26,2021-03-30,,https://patents.google.com/patent/BR112013018695B1/pt,
BR-112012006982-B1,"Célula hospedeira microbiana transgênica, métodos para produzir um polipeptídeo, para produzir um mutante de uma célula precursora, para inibir a expressão de um polipeptídeo, para produzir uma proteína, para degradar ou converter um material celulósico, para produzir um produto de fermentação, para fermentar um material celulósico, construções de ácido nucleico, vetor de expressão, polipeptídeo isolado tendo atividade intensificadora celulolítica, polinucleotídeo isolado que codifica o mesmo, e, composição detergente ","Novozymes, Inc., Novozymes A/S","Lan Tang, Yve Liu, Junxin Duan, Zhang Yu, Christian Jorgensen, Randall Kramer",2009-09-29,2010-09-29,2021-12-21,,https://patents.google.com/patent/BR112012006982B1/pt,https://patentimages.storage.googleapis.com/92/0d/52/a88d0e312abfa2/img0001.png
BR-112012000260-B1,"célula hospedeira microbiana transgênica, métodos para produzir um polipeptídeo, para produzir um mutante de uma célula precursora, para inibir a expressão de um polipeptídeo, para produzir uma proteína, para degradar ou converter um material celulósico, para produzir um produto de fermentação, para fermentar um material celulósico, construções de ácido nucleico, vetor de expressão, polipeptídeo isolado tendo atividade de intensificação celulolítica, e, polinucleotídeo isolado que codifica o mesmo ","Novozymes A/S, Novozymes, Inc.","Ye Liu, Lan Tang, Wenping Wu, Jason Quinlan, Randall Kramer",2009-07-07,2010-07-07,2020-11-17,,https://patents.google.com/patent/BR112012000260B1/pt,https://patentimages.storage.googleapis.com/f4/8d/f4/88f68f62828884/img0001.png
BR-PI1015197-A2,"polipeptídeo isolado, polinucleotídeo isolado, célula hospedeira recombinante, métodos para produzir um polipeptídeo, um mutante de uma célula percursora, uma proteina, e um produto de fermentação, planta transgênica, parte da planta ou célula de planta, molécula de rna, método para inibir a expressão de um polipeptídeo, e, métodos para degradar ou converter, e para fermentar um material celulósico ou contendo xilano ","Novozymes, Inc.","Kimberly Brown, Michelle Maranta, Eric Abbate",2009-04-30,2010-04-22,2020-08-18,,https://patents.google.com/patent/BRPI1015197A2/pt,
BR-PI0805818-B1,"métodos para sintetizar uma ou mais espécies de compostos orgânicos, em particular álcool ",Kabushiki Kaisha Sangi,"Takashi Tsuchida, Shuji Sakuma, Tetsuya Yoshioka, Jun Kubo",2007-08-24,2008-08-25,2018-12-18,,https://patents.google.com/patent/BRPI0805818B1/pt,
BR-112014002401-B1,"Célula hospedeira transgênica de fungo filamentoso, métodos para produzir um polipeptídeo e uma proteína, e, construto de ácido nucleico ou um vetor de expressão ","Novozymes A/S, Novozymes Inc.",Nikolaj Spodsberg,2011-08-04,2012-08-01,2021-08-03,,https://patents.google.com/patent/BR112014002401B1/pt,
BR-112019027861-A2,"polipeptídeo, composição, formulação de caldo integral ou composição de cultura celular, polinucleotídeo, construção de ácido nucleico ou vetor de expressão, célula hospedeira recombinante, método de produção de um polipeptídeo, e, processo de produção de um produto de fermentação. ",Novozymes A/S,"Zhengfang Kang, Marc Dominique Morant, Tomoko Matsui, Kirk Matthew Schnorr, Shiro Fukuyama, Noriko Tsutsumi",2017-06-28,2018-06-26,2020-09-15,,https://patents.google.com/patent/BR112019027861A2/pt,
BR-112012026370-B1,levedura industrial capaz de produzir etanol a partir de pelo emnos uma pentose ,Lesaffre & Cie,"Rave Christophe, Colavizza Didier, Pignede Georges, Bavouzet Jean-Michel, Desfougeres Thomas",2010-04-14,2011-04-04,2020-01-21,,https://patents.google.com/patent/BR112012026370B1/pt,
BR-112013013696-B1,Cepa de levedura e método para produzir etanol ,Lesaffre Et Compagnie,"Thomas DESFOUGERES, Georges Pignede",2010-12-03,2011-12-02,2021-04-13,,https://patents.google.com/patent/BR112013013696B1/pt,https://patentimages.storage.googleapis.com/97/15/af/eeaf05d630698c/img0001.png
BR-PI0610988-A2,microorganismos termofìlicos com gene de lactato desidrogenase inativado (ldh) para produção de etanol ,Tmo Renewables Ltd,"Anthony Atkinson, Roger Cripps, Kirstin Eley, Brian Rudd, Martin Todd, Ann Thompson",2005-05-04,2006-05-03,2010-08-10,,https://patents.google.com/patent/BRPI0610988A2/pt,
BR-112020002115-A2,"polipeptídeo variante de trealase, polinucleotídeo, construto de ácido nucleico, vetor de expressão, célula hospedeira, composição, formulação de caldo inteiro ou composição de cultura de células, método de produção de uma variante de trealase, e, processo de produção de um produto de fermentação ",Novozymes A/S,"Noriko Tsutsumi, Tomoko Matsui, Yuma Kurakata",2017-08-08,2018-08-06,2020-08-11,,https://patents.google.com/patent/BR112020002115A2/pt,
BR-112013007693-B1,"Variante, polinucleotídeo isolado, célula hospedeira microbiana recombinante, métodos para produzir uma variante, para produzir uma variante tendo atividade intensificadora celulolítica, para degradar um material celulósico, para produzir um produto de fermentação, para fermentar um material celulósico, e, composição enzimática, formulação do caldo completo ou composição de cultura de células ","Novozymes, Inc","Matthew Sweeney, Mark Wogulis",2010-09-30,2011-09-29,2021-12-07,,https://patents.google.com/patent/BR112013007693B1/pt,https://patentimages.storage.googleapis.com/24/61/84/9171032e58bc34/img0005.png
BR-PI1011597-B1,"Métodos para degradar um material celulósico, para produzir um produto de fermentação, e para fermentar um material celulósico, e, composição de enzima ","Novozymes, Inc.","Ashley Garner, Paul Harris, Jason Quinlan, Randall Kramer",2009-05-29,2010-05-27,2019-08-20,,https://patents.google.com/patent/BRPI1011597B1/pt,
BR-112014028043-A2,processo de etanol de alta eficiência e coproduto de alimentação de alta proteína ,Abengoa Bioenergy New Tech Llc,"Blázquez Escudero Carlos, Gutiérrez Gómez Pablo",2012-05-10,2013-05-09,2017-06-27,,https://patents.google.com/patent/BR112014028043A2/pt,
BR-PI0712914-A2,colheitas de energia para estoques de alimentação de biocombustìvel aperfeiçoados ,Edenspace System Corp,"Michael J Blaylock, Bruce W Ferguson, David A Lee",2006-02-27,2007-02-27,2012-10-09,,https://patents.google.com/patent/BRPI0712914A2/pt,
BR-112012008286-B1,"célula hospedeira microbiana transgênica, métodos para produzir um polipeptídeo, para degradar ou converter um material celulósico ou material contendo xilano, para produzir um produto de fermentação, para fermentar um material celulósico ou material contendo xilano, construções de ácido nucleico, e, vetor de expressão ","Novozymes, Inc. E Novozymes A/S","Elena Vlasenko, Brett McBrayer, Dominique Skovlund, Sara Landvik",2009-11-06,2010-11-05,2018-11-21,,https://patents.google.com/patent/BR112012008286B1/pt,
BR-112012006978-B1,"célula hospedeira microbiana transgênica, métodos para produzir um polipeptídeo tendo atividade de xilanase, para degradar ou converter um material celulósico ou um material contendo xilano, para produzir um produto de fermentação, para fermentar um material celulósico ou um material contendo xilano, construção contendo ácido nucleico, e, vetor de expressão. ","Novozymes, Inc., Novozymes A/S","Lan Tang, Ye Liu, Junxin Duan, Hanshu Ding",2009-09-29,2010-09-29,2018-11-06,,https://patents.google.com/patent/BR112012006978B1/pt,
BR-112020026167-A2,lactobacillus plantarum para cuidados com a pele ,"Symrise Ag, Probi Ab","Manuel Pesaro, Dominik Stuhlmann, Lisa GARBE, Gerhard Schmaus, Kerstin Holmgren, Niklas Larsson",2018-06-26,2019-06-26,2021-03-23,,https://patents.google.com/patent/BR112020026167A2/pt,
BR-112013019038-B1,"Célula hospedeira microbiana transgênica, métodos para produzir um polipeptídeo, para produzir uma proteína, para degradar um material celulósico, para produzir um produto de fermentação, e para fermentar um material celulósico, e, construção de ácido nucleico ou vetor de expressão ","Novozymes A/S, Novozymes Inc","Mary Ann Stringer, Brett McBrayer",2011-01-26,2012-01-26,2021-03-30,,https://patents.google.com/patent/BR112013019038B1/pt,https://patentimages.storage.googleapis.com/52/b2/bc/c3a74d7e3fe61a/img0001.png
BR-112013007699-A2,"variante, polinucleotídeo isolado, célula hospedeira recombinante, métodos para produzir um variante, para degradar um material celulósico, para produzir um produto de fermentação, para fermentar um material celulósico, e, composição 5 enzimática, formulação do caldo completo ou composição de cultura de células ","Novozymes, Inc.","Matthew Sweeney, Mark Wogulis",2010-09-30,2011-09-29,2020-08-04,,https://patents.google.com/patent/BR112013007699A2/pt,
BR-PI0914835-B1,"Célula hospedeira microbiana transgênica, métodos para produzir um polipeptídeo e para produzir uma proteína, construções de ácido nucléico, e, vetor de expressão. ",Novozymes A/S,"Michelle Maranta, Kimberly Brown",2008-07-29,2009-07-29,2019-04-24,,https://patents.google.com/patent/BRPI0914835B1/pt,
